1,0.0022092,2,0.0083653,3,0.010986,4,0.012251
432,0.99234,464,0.99234,496,0.99234,574,0.99657
433,0.99304,466,0.99304,499,0.99304,578,0.99692
434,0.99371,468,0.99371,502,0.99371,582,0.99725
435,0.99434,470,0.99434,505,0.99434,586,0.99755
436,0.99493,472,0.99493,508,0.99493,590,0.99784
437,0.99549,474,0.99549,511,0.99549,594,0.9981
438,0.99602,476,0.99602,514,0.99602,598,0.99834
439,0.99651,478,0.99651,517,0.99651,602,0.99856
440,0.99698,480,0.99698,520,0.99698,606,0.99877
441,0.99742,482,0.99742,523,0.99742,610,0.99896
442,0.99783,484,0.99783,526,0.99783,614,0.99913
443,0.99821,486,0.99821,529,0.99821,618,0.99929
444,0.99856,488,0.99856,532,0.99856,622,0.99944
445,0.99889,490,0.99889,535,0.99889,626,0.99957
446,0.9992,492,0.9992,538,0.9992,630,0.9997
447,0.99949,494,0.99949,541,0.99949,634,0.99981
448,0.99975,496,0.99975,544,0.99975,638,0.99991
449,1,498,1,547,1,642,1
